# QA TAB — paste into the 'QA' sheet
# Each chapter has 2 worksheets × 5 questions = 10 rows.
# worksheet = 1 or 2
# type = short  (1-3 sentences)  OR  long  (paragraph answer)
#
"chapter_id","chapter_name","worksheet","question","answer","type"
"6-maths-1","Patterns in Mathematics","1","What is a pattern? Give two examples from daily life.","A pattern is an arrangement that follows a fixed rule and can be extended. Examples: (1) Days of the week repeat in the pattern Mon, Tue, Wed… (2) Traffic lights follow: Red → Green → Yellow → Red.","short"
"6-maths-1","Patterns in Mathematics","1","Write the first 6 triangular numbers and show how they are formed.","Triangular numbers: 1, 3, 6, 10, 15, 21.
Formed by: T1=1, T2=1+2=3, T3=1+2+3=6, T4=10, T5=15, T6=21.
Formula: Tn = n(n+1)/2.","short"
"6-maths-1","Patterns in Mathematics","1","What is the Fibonacci sequence? Write its first 10 terms.","The Fibonacci sequence starts with 1, 1 and each next term is the sum of the two previous terms.
First 10 terms: 1, 1, 2, 3, 5, 8, 13, 21, 34, 55.","short"
"6-maths-1","Patterns in Mathematics","1","Find the sum of the first 5 odd numbers. What pattern do you notice?","First 5 odd numbers: 1, 3, 5, 7, 9.
Sum = 1+3+5+7+9 = 25 = 5².
Pattern: Sum of first n odd numbers = n².","short"
"6-maths-1","Patterns in Mathematics","1","Complete the pattern and state the rule: 3, 6, 12, 24, __, __","Next terms: 48, 96.
Rule: Each term is multiplied by 2 (geometric sequence, ratio = 2).
3×2=6, 6×2=12, 12×2=24, 24×2=48, 48×2=96.","short"
"6-maths-1","Patterns in Mathematics","2","Explain with an example how patterns help in multiplication tables.","Patterns make multiplication easier. For the 9× table: 9, 18, 27, 36, 45…
(1) Tens digit increases by 1 each time.
(2) Units digit decreases by 1.
(3) Sum of digits always = 9.
These patterns help us verify without memorising every fact.","long"
"6-maths-1","Patterns in Mathematics","2","The square numbers are 1, 4, 9, 16, 25. Find the differences between consecutive square numbers. What pattern do you see?","Differences: 4−1=3, 9−4=5, 16−9=7, 25−16=9.
Differences: 3, 5, 7, 9 (consecutive odd numbers).
Explanation: (n+1)² − n² = 2n+1, which is always odd.
So differences between consecutive perfect squares are always consecutive odd numbers.","long"
"6-maths-1","Patterns in Mathematics","2","What is Pascal's Triangle? Draw the first 5 rows and list 2 patterns.","Pascal's Triangle: each number = sum of two numbers above it.
Row 0: 1
Row 1: 1 1
Row 2: 1 2 1
Row 3: 1 3 3 1
Row 4: 1 4 6 4 1
Patterns: (1) Each row sums to a power of 2. (2) Triangular numbers appear in the 3rd diagonal.","long"
"6-maths-1","Patterns in Mathematics","2","Identify and describe two mathematical patterns you observe in nature.","Pattern 1 — Fibonacci in Flowers: Sunflower seeds spiral in patterns. Counting clockwise and anticlockwise gives consecutive Fibonacci numbers (e.g. 21 and 34). Same in pine cones.
Pattern 2 — Symmetry in Snowflakes: Every snowflake has 6-fold symmetry — rotating by 60° gives the same shape, because of the hexagonal crystal structure of ice.","long"
"6-maths-1","Patterns in Mathematics","2","How does understanding patterns help in real-life problem solving? Give two examples.","Example 1 — EMI calculation: If sales are ₹500, ₹1000, ₹1500 (arithmetic, +₹500), we can calculate any month without listing all months.
Example 2 — Population growth: If population doubles every 10 years (1000, 2000, 4000…), the geometric pattern helps predict future population and plan infrastructure.
Patterns save time, reduce errors, and allow generalising from specific observations.","long"
"6-maths-2","Lines and Angles","1","Define a line segment and a ray. How are they different from a line?","A line segment has two endpoints and a fixed measurable length (e.g., AB). A ray has one endpoint and extends infinitely in one direction (e.g., ray AB starting at A through B). A line has no endpoints and extends infinitely in both directions. Line segments and rays are parts of a line.","short"
